Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Muffin Top,Zoe,4,7,Type 4 121/94,"MuffinTopFilm
Cathryn Michon","thegrrlgenius
muffintopmovie",,,Done,,Need to Add Image URL's,4,121,94
SAFE SPACE,Leah,6,7,Type 2 160/56,"Sam Clark
Gus Mayopoulos
safespacefilm",RealSamClark,,,Done,,Need to Add Image URL's,2,160,56
It's Not a Burden,,7,7,Type 1 101/100,itsnotaburden,"ItsNotABurden
MichelleBoyaner",,,Done,,,1,101,100
BareBones,Zoe,8,15,Type 4 156/73,"barebonesPGH
barebonesblackbox",barebones1,,,Done,,,4,156,73
Danielle Ate The Sandwich,Leah,9,11,Type 2 248/5,"DanielleAtetheSandwich
",atetheSandwich,danielleatethesandwich,daniellesmagic,Done,,Need to Add Image URL's,2,248,5
Dodie & Cheryl,,10,7,Type 3 12/na,DodieAndCheryl,"coleysohn
dodieandcheryl",,,Done,,,3,12,0
Miller's Compendium,,12,13,Type 2 153/9,"MillersCompendium
",wordmill,,,Done,,,2,153,9
Julia Nunes,,14,11,Type 2 537/3,julianunesmusic,JuliaNunes,,,Done,,,2,537,3
Superior Motors,,15,8,Type 1 124/94,,sousapgh,,,Done,,,1,124,94
Welly Bottle,,16,5,Type 2 128/60,"wellybottle
",WellyBottle,,,Done,,,2,128,60
TURA!,Rosie,17,7,Type 4 112/93,"TuraSatanaProductions
siouxzan","theturasatana
girlwerks 
codyjarrettnow",,,Done,,,4,112,93
Packed in a Trunk,Zoe,18,7,Type 4 106/93,EdithLakeWilkinson,"MichelleBoyaner
greeniefilms",,,Done,,,4,106,93
Kate Nash,,19,11,Type 2 221/37,"katenash
",katenash,,,Done,,,2,221,37
MLE,,20,7,Type 2 120/63,"MLEMovie
","sardoubleyou 
MLEMovie",,,Done,,,2,120,63
In the Park,,40,7,Type 4 102/96,,"Mariannadean
ItsTheTruStory",,,Done,,No button for Crowd Funding Project,4,102,96
BOTTOMS UP!,Church,47,2,Type 2 107/66,BirdcageBottomBooks,BirdcageBottom,birdcage_bottom_books,,Done,Done,,2,107,66
SENIORS,Rosie,48,7,Type 4 120/94,"GormanBechard (p) 
SENIORSdocumentary (b)
OldFriendsSeniorDogSanctuary (b)","aDOGnamedGUCCI
SENIORSdoc
GormanBechard",GormanBechard,,Done,In Progress,,4,120,94
Waldmann Brewery & Wurstery,Church,49,8,Type 2 125/51,WaldmannBrewery,waldmannbrewery,waldmannbrewery,,Done,Done,,2,125,51
Mercurial Theatre,Rosie,50,15,Type 3 33/na,mercurialtheatre,mercurialatx,,,Done,,,3,33,0
AutoDock,Church,50,14,Type 3 76/na,,"jmkuznicki, the_autodock",,,Done,Done,,3,76,0
The Vernor Cafe,Church,51,11,Type 4 111/100,elclubdetroit,elclubdetroit,,,Done,Done,,4,111,100
Solar Flower,Church,52,5,Type 1 111/96,"stillalivelights, cory.zwerlein (p)",,"c_zwerlein
stillalivelights",,Done,Done,,1,111,96
Card Castle,Rosie,53,9,Type 4 105/93,"CardCastleGame (b)
polo.schlemmer (p)
sophia.haddix (p)
SilverBree (p)
debbie.r.lin (p)",CardCastleGame (b),cardcastlegame,,Done,Done,,4,105,93
raboo SMART Charger,Church,54,14,Type 4 100/100,rabootec,rabootec,rabootechnologies,UCXSveew131r80XS11zK2vNg,Done,Done,,4,100,100
Beelinguapp,Church,55,14,Type 1 124/90,beelinguapp,thebeelinguapp,,,Done,Done,,1,124,90
Tenkiv Nexus,Church,56,14,Type 4 100/96,Tenkiv,Tenkiv,tenkivofficial,,Done,Done,,4,100,96
SmartiPi Raspberry Pi B+ and camera case,Church,57,5,Type 1 109/95,smarticase,smarticase,smarticase,,Done,Done,,1,109,95
A Fowl American,Church,59,7,Type 2 125/41,"afowlamerican (b), kevincoulston (p)
gregcipes(p)","afowlamerican
GregCipes
kevincoulston","afowlamerican, kevincoulston, gregcipes",UCTCVkdW_yflgqYtN0pJ_HXA,Done,In Progress,,2,125,41
Brigid's Birds,Church,60,11,Type 2 196/10,margaretmclartymusic,magsmclarty,,,Done,,,2,196,10
