,post_id,handle,postDate,postType,gen_postType,postUrl,platform,message,twitter_comment,twitter_retweet,relevant_prediction,cta_prediction,sell_prediction,intent_prediction,comments,shares,likes,views,CampaignId,campaign_name,campaign_startDate,campaign_endDate,project_currency,project_staffPick,sub_category,project_url,project_backerCount,project_goal,project_pledgeAmount,Succeeded,image_URL
,12139,katenash,"""2017-04-05T15:08:34.000Z""",photo,image,https://twitter.com/katenash/status/849639908092239872,twitter,It me https://t.co/D1iIiCL9z3,,,0,0,0,5,NA,17,72,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/media/C8qG-7pUMAEBf_p.jpg
,12147,katenash,"""2017-04-05T03:11:14.000Z""",photo,image,https://twitter.com/katenash/status/849459384488951808,twitter,Me on first day of kickstarter at 8.10 PM https://t.co/fZ9VjJ4DGS,,,1,0,0,1,NA,6,90,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/media/C8niy71XsAAUr0Q.jpg
,12166,katenash,"""2017-04-04T21:29:38.000Z""",photo,image,https://twitter.com/katenash/status/849373417925210114,twitter,When I call https://t.co/TJmMWHy2vI,,,0,0,0,5,NA,5,63,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/media/C8mUnHhXsAEh3l0.jpg
,12171,katenash,"""2017-04-04T21:27:39.000Z""",photo,image,https://twitter.com/katenash/status/849372921487339520,twitter,"RT @kickstarter: Just launched! ?  @katenash is making her fourth album, and you can help: https://t.co/UfSITqX1aN https://t.co/TQBzHX1viB",,,1,1,0,1,NA,29,0,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/media/C8mGx0gXsAA2hJS.jpg
,12176,katenash,"""2017-04-04T19:58:06.000Z""",photo,image,https://twitter.com/katenash/status/849350383218642944,twitter,Just kidding I'm not ur uncle I'm ur mum https://t.co/QwaVtxdvCP,,,0,0,0,5,NA,2,58,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/media/C8l_qorXsAYYSRZ.jpg
,12194,katenash,"""2017-04-04T17:55:24.000Z""",photo,image,https://twitter.com/katenash/status/849319505293606913,twitter,RT @JamesBOJJones: @katenash  https://t.co/nFa0lXFelO,,,0,0,0,5,NA,1,0,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/media/C8lelDhWsAAX5T3.jpg
,12225,katenash,"""2017-04-04T16:35:27.000Z""",photo,image,https://twitter.com/katenash/status/849299386429526016,twitter,RT @JoBuckingham: @katenash YES https://t.co/Cp3zK6suAw,,,0,0,0,5,NA,1,0,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,http://pbs.twimg.com/tweet_video_thumb/C8lRPxUW0Ac7SUx.jpg
,12280,katenash,"""2017-05-03T17:54:11.000Z""",photo,image,https://www.facebook.com/katenash/posts/10155256246313535,facebook,"These amazing jackets are available to buy on kickstarter!!! The crest is totally personal to me and mysterious and fun to figure out. Celtic inspired and with hidden messages about the new record. Girl Gang patch on the front, and you can customize where 'Kate Marie' is stitched on, to say your name/nickname/whatevs. Created by myself and the magical designs of Kelsey Hart, The Little Ghost. There are 16 left that come with limited edition PINK Made of Bricks Vinyl!!!! GO GET EM bit.ly/KateNashKS",,,1,0,1,4,21,9,203,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18199017_10155256246253535_3493452892064118228_n.jpg?oh=c22639756a4f8a2e1a383ccb84785ef2&oe=59B2F94D
,12281,katenash,"""2017-05-03T17:48:18.000Z""",video,video,https://www.facebook.com/katenash/videos/10155256226413535/,facebook,LESS THAN 24 HRS TO GO ON KICKSTARTER!! GAHHHHHHH bit.ly/KateNashKS,,,1,0,1,1,8,11,322,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/18324108_10155256228713535_1966872061225730048_n.jpg?oh=ff0883d46f76737412f74c89ba1b384b&oe=597B37FA
,12282,katenash,"""2017-05-02T23:11:43.000Z""",photo,image,https://www.facebook.com/katenash/posts/10155254019553535,facebook,"My 4th album is totally sick you should def pre-order it. Shoutin it loud as we near the finish line, HELP FUND MY RECORD ON KICKSTARTER! Be my label, get exclusives, behind the scenes & updates that continue post-campaign! Kickstarter is an absolute game changer and with less than 6 hours to go, I have to say I am so happy I get to keep my creative control and stay independent. Such an honor to do this with you. Check out additional rewards, we have added lower and higher levels and some of the stuff that ran out. ILYSM\n\nhttp://bit.ly/KateNashKN",,,1,1,1,3,11,3,187,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/18198344_10155254018578535_2667787903306898707_n.jpg?oh=765533e69c6f99b774b00703e27295a7&oe=59C09FA6
,12283,katenash,"""2017-05-02T17:46:12.000Z""",video,video,https://www.facebook.com/katenash/posts/10155253232388535,facebook,My interview with UPROXX out now!! very pg lots of swearing #sopunkrock,,,0,0,0,5,40,0,1531,NA,19,Kate Nash,"""2017-04-04T00:00:00.000Z""","""2017-05-04T00:00:00.000Z""",USD,1,Pop,https://www.kickstarter.com/projects/919815019/kate-nash-is-making-a-record?ref=discovery,2642,70000,155412,1,https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/18279082_10155532342896337_319929854726242304_n.jpg?oh=ee96e4a50abf0c07b7244ace03f3b0ce&oe=5981541C
