type,funded,reached
4,99,na
4,99,na
4,73,na
4,58,na
4,57,na
4,51,na
4,51,na
4,44,na
4,42,na
4,41,na
4,41,na
4,39,na
4,37,na
4,36,na
4,36,na
4,355,80
4,352,8
4,32,na
4,31,na
4,28,na
4,26,na
4,249,10
4,230,90
4,23,na
4,220,40
4,220,40
4,21,na
4,205,79
4,20,na
4,19,na
4,189,77
4,183,73
4,18,na
4,17,na
4,17,na
4,164,44
4,16,na
4,16,na
4,158,71
4,157,60
4,156,73
4,154,74
4,153,84
4,152,93
4,152,89
4,152,77
4,148,70
4,147,75
4,145,79
4,144,80
4,144,66
4,143,78
4,142,75
4,142,64
4,141,62
4,140,87
4,140,70
4,134,67
4,133,84
4,132,83
4,132,83
4,132,76
4,131,77
4,131,70
4,130,74
4,130,67
4,130,61
4,129,83
4,129,80
4,129,80
4,129,77
4,129,67
4,129,60
4,128,94
4,128,87
4,128,81
4,128,81
4,128,79
4,128,78
4,127,73
4,127,100
4,126,93
4,126,83
4,126,83
4,126,77
4,125,93
4,125,90
4,125,88
4,125,87
4,125,76
4,125,56
4,124,90
4,124,66
4,123,93
4,123,90
4,123,83
4,123,77
4,123,77
4,123,74
4,123,73
4,123,100
4,122,83
4,122,79
4,122,71
4,122,70
4,121,94
4,121,86
4,121,86
4,121,82
4,121,70
4,120,94
4,120,91
4,120,74
4,119,96
4,119,94
4,119,94
4,119,92
4,119,90
4,119,87
4,119,100
4,119,
4,118,93
4,118,90
4,118,87
4,118,100
4,117,96
4,117,90
4,117,90
4,117,87
4,117,87
4,117,86
4,117,84
4,117,81
4,117,80
4,117,77
4,117,77
4,117,67
4,117,60
4,116,84
4,116,79
4,116,74
4,116,74
4,116,73
4,116,67
4,116,63
4,116,61
4,115,93
4,115,93
4,115,91
4,115,88
4,115,83
4,115,67
4,115,100
4,114,95
4,114,93
4,114,90
4,114,90
4,114,90
4,114,88
4,114,87
4,114,87
4,114,80
4,114,78
4,114,77
4,113,96
4,113,95
4,113,93
4,113,91
4,113,89
4,113,100
4,112,97
4,112,93
4,112,93
4,112,83
4,112,82
4,112,81
4,112,73
4,111,97
4,111,97
4,111,95
4,111,95
4,111,94
4,111,92
4,111,91
4,111,91
4,111,87
4,111,86
4,111,77
4,111,73
4,111,73
4,111,70
4,111,100
4,110,94
4,110,93
4,110,90
4,110,90
4,110,90
4,110,90
4,110,88
4,110,87
4,110,87
4,110,87
4,110,83
4,110,80
4,110,79
4,110,77
4,110,73
4,110,67
4,109,97
4,109,93
4,109,93
4,109,93
4,109,91
4,109,90
4,109,90
4,109,88
4,109,87
4,109,86
4,109,81
4,109,79
4,109,75
4,109,70
4,109,67
4,109,100
4,109,100
4,108,97
4,108,97
4,108,97
4,108,97
4,108,95
4,108,94
4,108,93
4,108,90
4,108,88
4,108,87
4,108,87
4,108,84
4,108,83
4,108,80
4,108,76
4,108,73
4,108,100
4,108,1
4,107,96
4,107,95
4,107,94
4,107,93
4,107,93
4,107,93
4,107,93
4,107,90
4,107,90
4,107,89
4,107,88
4,107,80
4,107,78
4,107,77
4,107,77
4,107,76
4,107,69
4,107,100
4,106,98
4,106,98
4,106,97
4,106,97
4,106,97
4,106,97
4,106,97
4,106,96
4,106,93
4,106,93
4,106,87
4,106,87
4,106,86
4,106,71
4,106,70
4,106,100
4,105,97
4,105,97
4,105,97
4,105,95
4,105,94
4,105,94
4,105,93
4,105,93
4,105,91
4,105,91
4,105,90
4,105,87
4,105,87
4,105,87
4,105,86
4,105,84
4,105,82
4,105,78
4,105,75
4,105,74
4,105,70
4,105,100
4,104,98
4,104,97
4,104,97
4,104,97
4,104,96
4,104,93
4,104,93
4,104,93
4,104,93
4,104,93
4,104,90
4,104,87
4,104,87
4,104,86
4,104,84
4,104,84
4,104,84
4,104,83
4,104,83
4,104,81
4,104,80
4,104,80
4,104,71
4,104,100
4,104,100
4,104,100
4,104,100
4,104,100
4,103,98
4,103,97
4,103,97
4,103,97
4,103,97
4,103,97
4,103,95
4,103,95
4,103,95
4,103,94
4,103,94
4,103,93
4,103,93
4,103,92
4,103,92
4,103,90
4,103,90
4,103,90
4,103,88
4,103,87
4,103,87
4,103,87
4,103,83
4,103,81
4,103,80
4,103,100
4,103,100
4,103,100
4,103,100
4,103,100
4,103,100
4,102,97
4,102,97
4,102,96
4,102,96
4,102,95
4,102,95
4,102,95
4,102,93
4,102,93
4,102,93
4,102,92
4,102,92
4,102,90
4,102,90
4,102,90
4,102,89
4,102,87
4,102,84
4,102,83
4,102,83
4,102,79
4,102,79
4,102,74
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,102,100
4,101,98
4,101,98
4,101,97
4,101,97
4,101,97
4,101,97
4,101,96
4,101,96
4,101,95
4,101,94
4,101,93
4,101,93
4,101,93
4,101,87
4,101,86
4,101,84
4,101,83
4,101,77
4,101,74
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,101,100
4,100,97
4,100,97
4,100,97
4,100,97
4,100,97
4,100,97
4,100,96
4,100,96
4,100,96
4,100,96
4,100,96
4,100,95
4,100,94
4,100,93
4,100,93
4,100,93
4,100,93
4,100,91
4,100,86
4,100,80
4,100,76
4,100,74
4,100,72
4,100,56
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,100,100
4,0,na
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,9,0
3,89,0
3,86,0
3,83,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,8,0
3,79,0
3,79,0
3,78,0
3,76,0
3,76,0
3,76,0
3,76,0
3,76,0
3,70,0
3,70,0
3,70,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,7,0
3,68,0
3,67,0
3,67,0
3,63,0
3,63,0
3,62,0
3,60,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,6,0
3,58,0
3,58,0
3,57,0
3,57,0
3,56,0
3,55,0
3,54,0
3,54,0
3,54,0
3,51,0
3,51,0
3,51,0
3,51,0
3,50,0
3,50,0
3,50,0
3,50,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,5,0
3,49,0
3,48,0
3,47,0
3,47,0
3,47,0
3,47,0
3,46,0
3,46,0
3,46,0
3,45,0
3,45,0
3,44,0
3,44,0
3,44,0
3,44,0
3,43,0
3,43,0
3,43,0
3,43,0
3,43,0
3,43,0
3,42,0
3,42,0
3,42,0
3,41,0
3,41,0
3,41,0
3,40,0
3,40,0
3,40,0
3,40,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,4,0
3,39,0
3,39,0
3,39,0
3,38,0
3,38,0
3,38,0
3,38,0
3,37,0
3,37,0
3,37,0
3,37,0
3,37,0
3,37,0
3,37,0
3,36,0
3,36,0
3,36,0
3,35,0
3,35,0
3,35,0
3,35,0
3,34,0
3,34,0
3,34,0
3,34,0
3,33,0
3,33,0
3,33,0
3,33,0
3,33,0
3,33,0
3,33,0
3,33,0
3,32,0
3,32,0
3,32,0
3,32,0
3,32,0
3,32,0
3,32,0
3,32,0
3,31,0
3,31,0
3,31,0
3,31,0
3,30,0
3,30,0
3,30,0
3,30,0
3,30,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,29,0
3,29,0
3,29,0
3,29,0
3,28,0
3,28,0
3,28,0
3,28,0
3,27,0
3,27,0
3,27,0
3,27,0
3,26,0
3,26,0
3,26,0
3,26,0
3,26,0
3,26,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,25,0
3,24,0
3,24,0
3,23,0
3,23,0
3,23,0
3,23,0
3,23,0
3,23,0
3,23,0
3,22,0
3,22,0
3,22,0
3,21,0
3,21,0
3,21,0
3,21,0
3,21,0
3,21,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,20,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,2,0
3,19,0
3,19,0
3,19,0
3,19,0
3,19,0
3,19,0
3,19,0
3,19,0
3,19,0
3,184,0
3,18,0
3,18,0
3,18,0
3,18,0
3,18,0
3,18,0
3,18,0
3,18,0
3,17,0
3,17,0
3,17,0
3,17,0
3,17,0
3,17,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,16,0
3,15,0
3,15,0
3,15,0
3,15,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,14,0
3,130,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,13,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,12,0
3,117,0
3,115,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,11,0
3,106,0
3,10,0
3,10,0
3,10,0
3,10,0
3,10,0
3,10,0
3,10,0
3,10,0
3,10,0
3,10,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
0,0,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
2,985,3
2,983,1
2,978,7
2,969,1
2,963,1
2,935,3
2,911,4
2,906,2
2,901,1
2,889,7
2,876,10
2,869,1
2,855,3
2,847,1
2,839,1
2,839,1
2,838,17
2,834,1
2,815,3
2,814,1
2,813,8
2,809,7
2,808,1
2,787,4
2,785,5
2,773,1
2,758,1
2,755,7
2,753,1
2,747,1
2,744,3
2,738,1
2,731,13
2,731,1
2,718,7
2,713,24
2,689,3
2,679,1
2,652,1
2,627,5
2,620,3
2,618,4
2,612,10
2,604,5
2,591,6
2,591,2
2,586,1
2,584,1
2,577,6
2,568,1
2,5679,1
2,567,3
2,563,1
2,561,1
2,558,13
2,557,6
2,551,20
2,5413,1
2,538,5
2,537,3
2,528,3
2,528,1
2,526,7
2,523,4
2,519,6
2,518,25
2,517,1
2,515,1
2,512,1
2,511,1
2,510,19
2,508,7
2,502,8
2,502,18
2,499,24
2,497,3
2,497,12
2,488,1
2,482,1
2,476,7
2,467,37
2,462,3
2,462,2
2,462,1
2,460,28
2,459,7
2,458,1
2,455,1
2,450,10
2,438,13
2,436,6
2,436,3
2,435,1
2,434,5
2,433,3
2,432,3
2,427,1
2,422,3
2,422,3
2,421,6
2,421,5
2,421,3
2,4175,7
2,4171,1
2,416,1
2,414,1
2,413,1
2,409,13
2,404,7
2,402,3
2,401,17
2,390,3
2,387,4
2,385,7
2,384,20
2,384,1
2,383,15
2,381,1
2,380,1
2,377,1
