CategoryNames,CategoryNumbers
1,7405
0,70962
0,71086
0,71123
0,71150
1,71168
0,71200
1,71211
0,71287
0,71292
0,71326
1,71334
1,71622
1,71659
0,71667
1,71709
1,72661
1,72714
0,72795
0,72803
0,72808
0,72853
1,72877
0,72886
0,72921
0,72928
0,72948
1,72949
0,72966
1,72987
0,72994
1,73020
1,73069
1,73085
1,73099
1,73119
0,73125
0,73129
1,73138
1,73152
0,73185
0,73192
1,73193
1,73211
1,73233
1,73236
1,73249
1,73284
0,73360
0,73400
1,73465
1,73504
1,73527
1,73534
0,73568
0,73739
0,73771
1,73801
1,73858
0,73906
1,73907
1,75033
1,75151
1,75172
1,75185
1,75196
1,75206
1,75286
1,75303
1,75304
1,75305
1,77708
1,77738
1,77747
1,77764
1,77810
1,77817
1,77824
0,77836
0,77859
1,77949
0,77965
0,78099
0,78154
0,78176
0,78366
0,78447
0,78544
1,78781
1,78826
0,78830
0,78926
0,78955
0,78967
0,79084
0,79113
0,79117
1,79171
0,79321
1,79342
0,79425
0,79433
0,79490
0,79496
0,79563
0,79592
0,79650
0,79658
0,79669
0,79758
0,79829
1,79894
0,79973
0,80037
1,80050
1,80065
0,80083
1,80125
1,80161
0,80218
1,80231
1,80510
1,80546
1,80580
1,80619
1,80678
0,80770
1,80781
1,80786
1,80811
0,80861
1,80862
0,80871
1,80936
1,80947
1,81004
1,81008
0,81054
0,81081
1,81142
1,81157
1,81202
1,81205
1,81206
1,81225
1,81227
1,81251
1,81271
1,81278
1,81313
0,81325
0,81361
0,81365
1,81413
0,81438
1,81517
1,81520
1,81521
0,81577
0,81691
0,81695
0,81733
0,81922
0,81983
1,82043
1,82057
1,82083
1,82259
0,82260
0,82269
1,82278
1,82285
0,82304
1,82305
0,82318
0,82418
0,82433
1,82454
0,82488
0,82526
0,82558
0,82576
0,82677
0,82678
0,82739
0,82752
1,83053
1,83101
1,83178
0,83242
0,83268
0,83450
1,83504
1,83567
1,83654
1,83697
0,83762
1,83769
0,83834
0,83839
0,83843
1,83852
1,84260
0,84267
0,84346
1,84443
0,84479
0,84484
1,84570
1,84577
1,84592
0,84596
1,84649
0,84675
1,84696
1,84743
1,84766
1,84860
0,84921
1,84977
1,84991
0,85054
0,85064
0,85129
0,85132
0,85133
0,85140
0,85143
1,85145
1,85179
1,85185
1,85218
1,85221
1,85224
0,85240
0,85248
1,85321
0,85329
1,85380
0,85383
1,85386
1,85475
1,85513
1,85546
0,85553
0,85668
1,85837
1,85841
0,85854
1,85862
1,85865
1,85911
1,85954
0,86011
1,86014
1,86023
1,86049
1,86078
0,86088
1,86100
0,86130
0,86143
0,86155
0,86171
0,86174
0,86216
0,86251
0,86261
0,86288
0,86294
0,86322
0,86378
1,86443
1,86479
0,86551
1,86582
1,86586
0,86624
1,86647
0,86723
1,86740
1,86785
0,86818
1,86867
1,86894
1,86931
0,86944
1,86973
1,87035
1,87110
1,87112
1,87123
0,87179
0,87188
0,87201
0,87202
1,87203
1,87522
1,87525
0,88562
1,88563
0,88594
0,88602
0,88605
1,88760
1,88780
1,88785
1,88794
1,88848
1,88985
1,89041
0,89068
0,89139
1,90139
0,90144
1,90153
1,90200
1,90213
0,90226
1,90386
1,90415
0,90439
0,90462
0,90465
0,90480
1,90482
1,90529
1,90551
1,90565
0,90579
1,90601
1,90606
0,90624
1,90667
1,90713
1,90735
1,90782
1,90783
1,90789
1,90796
0,90883
0,90892
0,90899
0,90951
0,90958
0,91007
1,91104
1,91132
1,91189
1,91200
1,91222
1,91224
1,91232
1,91256
0,91295
0,91331
0,91387
1,91489
0,91523
0,91553
0,91564
1,91576
1,91697
1,91712
1,91727
1,91766
0,91775
0,91782
1,91813
1,91816
0,91824
0,91840
0,91842
1,91889
1,91898
1,91902
1,91927
1,91937
1,91951
1,91977
1,92015
0,92179
0,92226
0,92229
1,92254
0,92259
0,92283
1,94560
1,94573
1,94574
0,94629
0,94645
0,94667
0,94677
0,94678
1,94734
1,94739
0,94749
0,94784
1,94788
1,94799
1,94806
0,94853
1,94863
1,94935
1,94975
0,95007
0,95010
0,95012
0,95018
1,95027
0,95032
0,95086
1,95151
1,95215
1,95270
1,95336
1,95506
1,95576
0,95588
1,95607
1,95614
1,95633
1,95662
1,97595
1,97607
0,97615
0,97661
1,97670
1,97677
0,97687
1,97711
1,97712
1,97720
1,97762
0,97782
1,97797
0,97826
0,97833
1,97888
0,97902
0,97940
1,97982
1,98003
0,98060
0,98097
1,98098
1,98114
1,98150
1,98200
0,98220
1,98262
1,98275
1,98276
1,98287
1,98330
0,98444
1,98458
1,98520
0,98544
1,98583
0,98681
1,98696
0,98864
1,98912
0,98946
1,99058
1,99074
1,99101
1,99120
1,99153
1,99168
0,99214
1,99245
1,99247
1,99255
0,99281
1,99283
1,99346
1,99365
1,99412
0,99440
0,99508
1,99568
1,99601
1,99626
1,99627
1,99635
0,99642
0,99718
1,99722
1,99728
0,99771
1,99826
1,99833
0,99884
1,99895
0,99932
0,99948
1,99983
0,100109
1,100346
0,100401
0,100436
0,100582
0,100600
1,101248
0,101269
0,101270
1,101326
1,101356
1,101363
0,101385
1,101412
1,101424
0,101454
1,102017
1,102544
1,102605
1,102623
1,102630
0,102732
1,102742
0,102830
0,102844
1,102920
1,102926
1,102933
1,102936
0,102951
0,102962
1,102965
1,102989
1,103036
1,103135
0,103156
0,103163
1,103170
1,103257
1,103306
1,103309
1,103313
1,103377
1,103387
0,103388
0,103485
1,103508
1,103535
1,103551
0,103561
1,103568
1,103575
1,103663
1,103741
1,103810
1,103849
1,103905
0,103981
0,104119
1,104160
1,104165
0,104212
1,104223
1,104291
1,104312
0,104322
1,104331
0,104343
1,104361
0,104365
1,104394
0,104400
1,104414
0,104433
1,104457
1,104462
1,104473
1,104572
1,104574
1,104602
1,104638
1,104677
0,104687
1,104690
0,104702
1,104739
1,104740
0,104785
1,104817
0,104818
1,104834
1,104882
0,104905
0,104947
0,104951
0,104980
0,104990
1,105045
0,105064
1,105120
1,105164
1,105407
0,105473
1,105497
0,105507
1,105531
1,105551
1,105576
1,105577
1,105598
0,105611
0,105732
0,105881
0,105950
1,105975
0,106000
1,106042
1,106051
1,106087
1,106171
0,106188
1,106194
0,106201
0,106255
0,106295
1,106409
0,106459
1,106475
1,106585
0,106635
0,106667
0,106669
1,106780
0,107043
0,107109
1,107118
0,107174
1,107181
1,107245
1,107254
1,107268
0,107311
0,107316
0,107323
0,107326
0,107344
0,107394
0,107398
0,107401
0,107593
1,107607
1,107634
1,107644
1,107651
1,107655
1,107658
0,107734
0,107737
0,107749
0,107761
1,107808
0,107816
0,107861
0,107863
0,107865
1,107874
1,107879
1,107896
1,107915
1,107923
1,107932
1,108043
1,108164
1,108181
0,108211
1,108354
1,108367
0,108370
0,108372
0,108402
0,108407
0,108419
0,108592
0,108600
0,108629
0,108682
0,108718
0,108890
1,108914
0,109125
0,109147
1,109162
1,109313
1,109450
1,109483
0,109527
0,109605
0,109646
0,109662
1,109681
0,109712
1,109856
1,110131
1,110142
0,110190
0,110224
0,110276
1,110282
1,110310
1,110329
0,110420
1,110438
1,110448
1,110486
0,110505
1,110526
1,110528
0,110547
1,110566
0,110614
0,110622
0,110628
0,110650
0,110665
0,110667
0,110744
0,110751
0,110758
1,110771
0,110778
0,110782
0,110783
0,110796
0,110819
0,110837
0,110850
0,110871
0,110887
0,110954
1,110958
0,110966
0,110995
1,111006
0,111012
0,111050
0,111051
0,111065
0,111081
0,111082
1,111088
0,111105
0,111128
0,111141
1,111158
0,111170
0,111208
0,111225
0,111232
1,111236
1,111245
0,111264
0,111281
0,111286
0,111302
0,111332
1,111376
1,111389
1,111400
1,111462
0,111472
0,111498
1,111517
1,111572
0,111686
0,111706
0,111709
1,111798
1,111849
1,111900
0,111905
0,111937
1,111949
1,111978
1,111980
1,111986
1,111991
1,112004
1,112031
1,112047
1,112080
1,112165
1,112203
1,112223
0,112251
0,112309
0,112311
1,112317
1,112321
1,112397
0,112413
0,112429
1,112463
1,112530
0,112561
1,112565
0,112571
1,112587
1,112611
1,112612
1,112662
1,112759
1,112879
0,112956
0,112957
1,113093
1,113139
1,113141
1,113231
0,113263
1,113291
1,113294
0,113426
1,113467
1,113477
1,113478
1,113512
1,113605
0,113608
1,113624
1,113639
0,113646
1,113683
1,113695
0,113720
1,113725
1,113727
1,113745
1,113790
0,113916
1,114045
1,114072
1,114114
1,114142
0,114184
0,114214
0,114232
1,114245
1,114256
1,114304
0,114321
0,114352
1,114367
1,114377
0,114423
0,114430
0,114451
1,114465
1,114483
0,114490
1,114524
0,114558
0,114600
0,114669
0,114682
1,114709
0,114722
1,114732
0,114744
0,114826
1,114837
1,114844
0,114851
1,114991
1,115101
1,115136
0,115193
1,115216
0,115270
1,115271
0,115285
1,115296
1,115311
1,115313
1,115333
1,115346
1,115364
1,115370
1,115380
1,115413
1,115427
1,115446
0,115449
1,115493
0,115504
1,115526
1,115545
1,115549
0,115558
1,115565
1,115584
0,115619
1,115639
1,115648
1,115649
1,115660
1,115729
1,115737
1,115746
1,115847
1,115860
0,115888
1,115907
1,115908
0,115934
1,115964
1,115983
1,115986
0,116077
1,116104
1,116185
1,116497
1,116564
1,116590
1,116612
1,116616
0,116642
0,116647
1,116678
1,116753
1,116756
1,116820
1,116873
1,116874
1,116878
1,116886
1,116905
1,116926
1,117001
1,117009
0,117050
0,117052
0,117054
1,117068
1,117073
1,117087
1,117110
1,117127
1,117176
1,117185
1,117187
1,117219
0,117227
0,117306
1,117309
1,117333
0,117363
0,117379
1,117384
0,117458
0,117480
1,117486
0,117489
1,117493
1,117503
1,117542
1,117556
0,117557
1,117562
0,117621
1,117717
0,117722
1,117730
1,117747
1,117749
1,117781
1,117794
1,117799
1,117808
0,117852
1,117954
1,118092
1,118297
1,118300
1,118322
1,118324
0,118342
1,118376
0,118407
1,118450
1,118459
0,118481
1,118489
1,118506
1,118539
1,118562
0,118585
0,118605
1,118633
1,118657
1,118668
1,118682
1,118811
1,118859
1,118863
1,118864
1,118912
1,118942
1,118949
1,118975
1,118977
1,119025
1,119084
1,119108
1,119177
1,119209
1,119214
0,119243
1,119247
1,119257
1,119275
0,119283
1,119300
1,119324
0,119404
1,119406
0,119437
0,119453
1,119457
0,119473
1,119511
0,119539
0,119541
1,119559
0,119560
0,119570
1,119572
0,119637
0,119643
0,119715
0,119736
1,119753
1,119767
0,119836
0,119853
0,119861
0,119869
