Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Alpha Colony,Jessica,86,9,Type 4 99/na,"AlphaColony
DreamQuestAcademy","AlphaColonyGame
DreamQuestGames",,,Done,,,4,99,na
SOAR Doc,Jessica,93,7,Type 4 99/na,"HotFlashFilmsPDX
soardocumentary
","HotFlashFilmsPD
soardocumentary",,,Done,,,4,99,na
Synchro-Taters Card Game,Lauren,279,9,Type 4 73/na,deepcomagames,deepcomagames,,UC0R49ktI1_95QwEuZ87BZ3A,In Progress,,,4,73,na
Everyday Gourmet Cafe,Lauren,1363,8,Type 4 58/na,everydaygourmetbakery,,edgbakery,,Done,,,4,58,na
The Anime Fantasy Art of Fuzichoco,Lauren,1966,,Type 4 57/na,playing.4ever.grounded,playinggrounded,,,Done,,,4,57,na
Knee High Boots,Rosie,313,6,Type 4 51/na,BootsEveryDayCo,"BootsEveryDayCo
zuzanabyrum",,,Done,,,4,51,na
The Tree Army,Rosie,2179,,Type 4 51/na,sheila.myers.526 (p),sheilammyers,,,In Progress,,,4,51,na
Pennie Swim: stylish + functional swimsuits`,Lauren,1651,,Type 4 44/na,,pennie_swim,Pennie_swim,,In Progress,,,4,44,na
The first personal trainer and diet coach for your dog!,Rosie,1723,,Type 4 42/na,actijoy,Actijoy,actijoy,,Done,,,4,42,na
Float the Boat - Save Mayflower II!,Lauren,1659,,Type 4 41/na,plimothplantation1620,plimoth,,pplantation,In Progress,,,4,41,na
Fixed Up - Volume 1,Rosie,1844,,Type 4 41/na,fixedupcomic,ianjasonnorris,,,Done,,,4,41,na
Suck My Cookbook: Clean Recipes for Dirty Minds,Lauren,1590,,Type 4 39/na,Suck-My-Cookbook-814828055298265,suckmycookbook,,,Done,,,4,39,na
The Unseen Darkness Rising,Rosie,2281,2,Type 4 37/na,EnjoyComicsHilo,EnjoyComicsHilo,,,Done,,,4,37,na
Chasing Rainbow Tales,Rosie,1013,13,Type 4 36/na,Chasingrainbowtales,ch8singrainbows,chasingrainbowtales,,Done,,,4,36,na
World Percussion Group Debut Album - 2017,Jessica,2128,,Type 4 36/na,Worldpercussiongroup,,,,,,,4,36,na
The Wall [Redux],Lauren,1239,11,Type 4 355/80,magneticeyerecords,magnetic_eye,magneticeyerecords,UC6BThiLQammY2WnICxdC50A,In Progress,,,4,355,80
Sasha Tech Savvy Loves to Code: A STEM Children's Book,Jessica,1390,13,Type 4 352/8,StemQueen1,TheStemQueen,thestemqueen,,Done,,,4,352,8
Blank The Game,Rosie,522,9,Type 4 32/na,blankthegame,blankthegame,,,Done,,,4,32,na
Pressed Penny Machine For Marquette,Rosie,755,14,Type 4 31/na,paulolsonart,,,,Done,,,4,31,na
LANDSLIDE Cursed Ground,Rosie,571,2,Type 4 28/na,"landslidecomics
headshrinkerspress
Nichihawkins (p)",HeadshrnkrPress,nichihawkins,,In Progress,,,4,28,na
Natural Beekeeping - American Made - Honey Bee - Eco Bee Box,Rosie,1167,8,Type 4 26/na,"EcoBeeBox
utahbees (p)","ecobeebox
ecobeeboxllc",,,In Progress,,,4,26,na
Tau: The tiny 32-bit Arduino Zero compatible!,Lauren,1751,,Type 4 249/10,rabidprototypes,,,,,,,4,249,10
Gods and Goddesses,Lauren,664,9,Type 4 230/90,jetpackseven,conceptopolis,,,Done,,,4,230,90
UND_,Lauren,294,6,Type 4 23/na,undundressed,,und_undressed,,Done,,type in authors' names to find kickstarter on scraper tool,4,23,na
Bee Eater,Jessica,1450,,Type 4 220/40,emilybrownmusic,emilybrownmusic,emilybrownmusic,,Done,,Twitter Handle not loading,4,220,40
A Clockwork Ley-Line - A Visual Novel Trilogy,Jessica,1455,,Type 4 220/40,SekaiProject,sekaiproject,,,Done,,,4,220,40
Random Nest,Lauren,1633,,Type 4 21/na,randomnestnow,randomnestnow,,,Done,,,4,21,na
A-to-Z-asaurus! A silly dinosaur book for kids and geeks!,Ellen,1975,,Type 4 205/79,raisegrate,raisegrate,rayfriesen,UClCGtSi2zkae_ikMUl7bNKw,In Progress,,,4,205,79
La Sequia: Women Not Walls,Rosie,703,7,Type 4 20/na,"lasequiafilm
",silvergirlpics,lasequiafilm,,Done,,,4,20,na
"ChowCheck, helping pet lovers find the right pet food",Jessica,1381,14,Type 4 19/na,chowcheck,,,,Done,,Scraper not picking up FB posts,4,19,na
Pests!,Lauren,671,9,Type 4 189/77,sponcomgames,sponcomgames,,,Done,,,4,189,77
Manafest,Church,1339,7,Type 4 183/73,manafest,manafest,manafest,ManafestVideos,In Progress,,,4,183,73
Gidget Swimwear,Rosie,504,6,Type 4 18/na,"gidgetswimear
keagan.hanny (p)",,gidgetswimwear,,Done,,,4,18,na
Aether Short Film,Rosie,795,7,Type 4 17/na,superepicfilms,,superepicfilms,,Done,,,4,17,na
"lightweight, premium leather bags by deft",Lauren,1994,,Type 4 17/na,carrybydeft,deft_agency,bydeft; a_deft_hand,,In Progress,,,4,17,na
Saltwater: Festival Premier,Lauren,1556,,Type 4 164/44,234.feet.below.sea.level,saltwatermovie,saltwaterthemovie,,In Progress,,,4,164,44
Trees and Houses Live Art and Music Collective,Rosie,1797,,Type 4 16/na,"treesandhousesco
TJWilliams4940 (p)",,,,In Progress,,,4,16,na
Prohibition Records: Protest in Song.,Lauren,2026,,Type 4 16/na,prohibitionrex,,,,,,,4,16,na
Neither Wolf Nor Dog - Distribution of Native American film,Joseph,1497,,Type 4 158/71,"athunderbeingnation
neitherwolfnordog",,stevenlewissimpson,,Done,,,4,158,71
British vs Pirates,Joseph,939,9,Type 4 157/60,british.pirates,britishvspirate,,UCV9FQJzreW8stzsij9WnLOA,Done,,,4,157,60
BareBones,Zoe,8,15,Type 4 156/73,"barebonesPGH
barebonesblackbox",barebones1,,,Done,,,4,156,73
#HelpGetOtisMade,Church,1403,7,Type 4 154/74,"anAEfilm (p), AN-AE-FILM-148176258583012",anaefilm,,,In Progress,,,4,154,74
