id,postUrl,message,cta,intents
156811,https://twitter.com/gregorybayne/status/847842888566185985,"Just a big, warm THANK YOU! from team #6DynamicLaws! https://t.co/N8so2PMQuo",,
156812,https://twitter.com/gregorybayne/status/847840286138970112,@ladufurrena Thank you!,,
156813,https://twitter.com/gregorybayne/status/847688663605444608,@wildiris05 So grateful. Very kind of you.,,
156814,https://twitter.com/gregorybayne/status/847688552083095553,"@wildiris05 @kickstarter Thank you, Juli!",,
156815,https://twitter.com/gregorybayne/status/847684769970143232,"Thank you, my friends for your outpouring of support for #6DynamicLaws. I look very forward to sharing it with you.",,
156816,https://twitter.com/gregorybayne/status/847682296429793280,Thank you! https://t.co/vaXXrgv48p,,
156817,https://twitter.com/gregorybayne/status/847670473533964289,Oh my oh my oh my! #6DynamicLaws! https://t.co/cSdWIcaNDv,,
156818,https://twitter.com/gregorybayne/status/847668997688500224,Yay! https://t.co/pekTOOfkUM,,
156819,https://twitter.com/gregorybayne/status/847670828535644161,"@AndieRedwine @shackett Thank you Sean, and thank you Andie for being one of our white knights!",,
156820,https://twitter.com/gregorybayne/status/847665144037494784,"$390 from $40,000, at $40K we instantly get a boost to $41K. Join us here to complete #6dynamiclaws https://t.co/8XR3b713Wv",,
156821,https://twitter.com/gregorybayne/status/847663517771603968,We need a hero! So close to hitting our goal for #6DynamicLaws | https://t.co/8XR3b713Wv | https://t.co/r8aFnVXMlx,,
156822,https://twitter.com/gregorybayne/status/847661670625198088,"Thank you, Marty! https://t.co/ycKQSAlNDf",,
156823,https://twitter.com/gregorybayne/status/847661114225643520,22 Backers from 300 strong. 114 minutes to go. You've all been so kind. We're almost home. https://t.co/8XR3b713Wv,,
156824,https://twitter.com/gregorybayne/status/847660669302317056,RT @LSue23: Intrigued by a farcical tale of murder &amp; betrayal? #SupportIndieFilm #FilmNoir @FilmNoir_Fan @TheNoirZone @SunshineBoyProd @Theâ€_,,
156825,https://twitter.com/gregorybayne/status/847657779057774593,"276 backers strong! $4855 left to meet our all-or-nothing goal! If you can, kindly pledge &amp; RT. https://t.co/8XR3b713Wv",,
156826,https://twitter.com/gregorybayne/status/847655450199834628,Thank you for being such a wonderful contributor. So appreciate all you've done over the years. https://t.co/inqULCKDcr,,
156827,https://twitter.com/gregorybayne/status/847654164469432320,@shackett @ifpfilm @lmcnelly You are a true gentleman.,,
156828,https://twitter.com/gregorybayne/status/847654114968219652,"@dusty_parachute Thank you, thank you! Love me a kitten emoji.",,
156829,https://twitter.com/gregorybayne/status/847654036610338821,RT @shackett: Old fashioned Kickstarter rally for  @ifpfilm  labs alum - @gregorybayne people. @lmcnelly you on this?  https://t.co/OnxreAwâ€_,,
156830,https://twitter.com/gregorybayne/status/847654003299074048,RT @dusty_parachute: Every contribution counts! They're SOOOO close! #indiefilm #supportartists #indie #movie #TheyllThrowInAFreeKitten ???? #â€_,,
156831,https://twitter.com/gregorybayne/status/847652955096440838,Thanks for being part of #6DynamicLaws! https://t.co/uNtBHnrWEI,,
