score,word
130,we
120,kickstarter
105,you
101,our
93,for
93,get
90,in
73,clonsters
68,left
66,this
64,days
61,your
60,will
54,now
51,pledge
51,have
49,us
48,today
45,with
41,out
41,free
41,help
41,all
38,were
37,i
36,hours
35,day
32,only
31,make
30,goal
28,go
28,fundclonsters
27,do
27,campaign
27,dream
26,raise
26,who
25,lets
25,loud
24,everyone
23,new
22,final
22,going
22,art
21,commission
21,has
20,book
20,print
20,over
19,from
19,backers
19,every
18,more
18,awesome
18,link
18,before
18,amp
17,two
17,one
17,hit
17,been
17,pledges
17,support
16,reward
16,last
16,there
16,prints
16,rewards
16,graphic
16,pledged
16,need
16,back
15,still
15,up
15,funded
15,vampire
15,emmy
15,come
15,please
15,live
15,u2
14,time
14,also
14,first
14,100
14,thanks
14,artist
14,1
14,some
13,film
13,wallet
13,20
13,add
13,added
13,httpbitlyclonsters
12,off
12,my
12,coloring
12,ny
12,until
12,youre
12,novel
12,level
12,even
12,50
12,weve
12,dotsloops
12,story
12,fans
11,them
11,stretch
11,announcing
11,destiny
11,manuel
11,im
11,copy
11,shared
11,exclusive
11,no
10,apex
10,while
10,keep
10,three
10,3
10,villain
10,thank
10,gets
10,6000
10,these
10,2
10,below
10,great
10,unlocked
10,bitlydlkickstarter
9,about
9,getting
9,know
9,40
9,4
9,thisnnpledge
9,backer
9,dreams
9,share
9,me
9,dont
9,already
9,early
8,3550
8,10
8,any
8,variant
8,game
8,fund
8,aw
8,pride
8,end
8,preitano
8,closer
8,adding
8,6
8,love
8,cant
8,special
8,12
8,cover
8,perfect
8,young
8,next
8,mothman
8,chupacabra
8,kraken
8,cryptid
8,wwwdreamoutloudfilmcom
7,limited
7,httpstcohgz69ipknd
7,four
7,close
7,robbertopoli
7,5
7,those
7,ryan
7,far
7,3000
7,see
7,larry
7,guys
7,than
7,super
7,featuring
7,patch
7,24
7,tell
7,tour
7,jewelleryforthejourney
6,check
6,week
6,chance
6,grab
6,preorder
6,here
6,news
6,publish
6,collectors
6,comic
6,1500
6,8500
6,class
6,best
6,mjau
6,offer
6,offers
6,offering
6,launch
6,holographic
6,happen
6,anything
6,robyn
6,sunday
6,fantastic
6,much
6,todaynbitlyclonsters
6,comments
6,card
6,funding
6,claimed
6,fan
6,their
6,flatwoods
6,show
6,havent
6,season
6,reach
6,drones
6,2017
6,u2fans
6,bird
5,would
5,read
5,page
5,well
5,low
5,25
5,rt
5,books
5,28
5,something
5,70
5,comics
5,2341
5,announcement
5,lot
5,approaching
5,made
5,other
5,tomorrow
5,helping
5,saturday
5,night
5,1159pm
5,7
5,want
5,wait
5,then
5,coming
5,thats
5,commissions
5,addition
5,little
5,5000
5,few
5,claim
5,right
5,hood
5,ends
5,physical
5,2000
5,amazing
5,less
5,shop
5,being
5,youve
5,isnt
5,black
5,life
5,series
5,believe
5,pledging
5,very
5,dogman
5,command
5,set
5,premiere
5,away
5,group
5,hamsters
5,jewellery
4,receive
4,bio
4,crowdfunding
4,selling
4,30
4,httpstcootfpjszyma
4,amy
4,tuned
4,upgrade
4,pieces
4,because
4,cinderella
4,truennpledge
4,short
4,gone
4,available
4,since
4,charged
4,35
4,volume
4,donate
4,push
4,clonstersnni
4,stuck
4,2627
4,remember
4,money
4,idea
4,which
4,nugget
4,copies
4,conventions
4,place
4,printsnn
4,higher
4,novelnnpledge
4,white
4,roberta
4,watts
4,got
4,announce
4,another
4,thing
4,tonight
4,todaynhttpswwwkickstartercomprojects248241887clonstersanallagesadventurecomic
4,after
4,pick
4,monster
4,music
4,theres
4,yet
4,year
4,performing
4,australian
4,isabelle
4,rainbow
4,exciting
4,together
4,stories
4,wristband
4,send
4,dreamoutloudfilm
4,february
4,miss
4,gyrating
4,houdiniopoly
4,collection
3,many
3,slimwallet
3,newest
3,click
3,update
3,sale
3,shipping
3,14
3,teaching
3,never
3,goals
3,favorite
3,did
3,covernni
3,late
3,item
3,marleni
3,gomez
3,949
3,overwhelmed
3,1180
3,raisennpledge
3,stuff
3,too
3,3pm
3,allow
3,empty
3,writers
3,signed
3,bunch
3,15
3,holding
3,drew
3,age
3,darkness
3,digital
3,lovely
3,manga
3,adopting
3,cats
3,genuinely
3,slots
3,slot
3,continuityent
3,ive
3,artists
3,includes
3,cut
3,making
3,order
3,9
3,biggest
3,renzo
3,rodriguez
3,orders
3,55
3,pollys
3,illustrated
3,lowpriced
3,levels
3,yisss
3,11
3,fundclonstersnnpledge
3,reality
3,dead
3,toward
3,broke
3,bookmark
3,miniprint
3,fabio
3,ramacci
3,total
3,matter
3,above
3,least
3,momentum
3,five
3,second
3,plus
3,way
3,social
3,he
3,draw
3,morning
3,doing
3,cool
3,fundclonstersnnhttpswwwkickstartercomprojects248241887clonstersanallagesadventurecomic
3,good
3,start
3,consider
3,true
3,sharennpledge
3,big
3,weeks
3,division
3,httpcoghillcartooningcomcryptidcommand2
3,cryptozoology
3,embroideredpatch
3,sam
3,nothing
3,around
3,concert
3,bit
3,finish
3,2014
3,yourself
3,friends
3,sweet
3,breaking
3,tribe
3,strongerthanfear
3,join
3,1130pm
3,backed
3,unlock
3,hamster
3,nnhttpkckst2qm1pwl
3,gift
3,freedom
3,explore
3,httpswwwkickstartercomprojects588473275jewelleryforthejourney
2,bionkickstarter
2,score
2,mstr
2,key
2,details
2,price
2,hurry
2,httpkckst2l7ets0
2,introducing
2,lifetime
2,guarantee
2,basketball
2,thinking
2,hi
2,seasonannual
2,work
2,closing
2,whos
2,space
2,riot
2,amazon
2,barnes
2,noble
2,allages
2,stay
2,yeah
2,todaynhttpstco5qhlemrvo0
2,take
2,vanessa
2,thread
2,sequel
2,heres
2,posting
2,twitter
2,larryewattsart
2,open
2,spread
2,word
2,projects
2,personalized
2,writing
2,aspiring
2,down
2,dollars
2,72
2,12am
2,8
2,including
2,six
2,entire
2,156page
2,missed
2,ordering
2,through
2,break
2,let
2,choose
2,wattsnni
2,fun
2,sitting
2,2000s
2,moment
2,successful
2,case
2,almost
2,granfors
2,half
2,local
2,had
2,concept
2,couldnt
2,myself
2,hired
2,illustrate
2,calling
2,variantnnfeaturing
2,villains
2,gogo
2,feral
2,splat
2,jekka
2,splathunting
2,printednnthe
2,contents
2,exact
2,same
2,difference
2,standard
2,pretty
2,version
2,booknnnow
2,ways
2,thisnn
2,previous
2,stickers
2,setnn
2,items
2,arent
2,contact
2,manually
2,without
2,losing
2,havennwe
2,53
2,commentsnnpledge
2,nnkickstarter
2,httpbitlyclonstersnnwere
2,printed
2,matte
2,stock
2,relieving
2,stressnn
2,existing
2,ordernnim
2,pricing
2,excited
2,bring
2,think
2,readers
2,donnwere
2,nownhttpbitlyclonsters
2,ingranatannstay
2,printsnnpledge
2,nhttpbitlyclonsters
2,ingranatas
2,mediannwe
2,draws
2,wicked
2,cindy
2,hes
2,superhero
2,horror
2,herennpledge
2,happy
2,gotten
2,overnight
